,patrimonio_natural_y,tipo_de_patrimonio,Normatividad,vigencia,pais,departamento,municipio
0,Parque Nacional Natural Las Hermosas,Los Monumentos Nacionales,Resolución 002 de marzo 12 de 1998 del Consejo Nacional de Monumentos.,2021,Colombia,Valle del Cauca,Palmira
1,Estación del Ferrocarril Palmira,Los Monumentos Nacionales,por decreto,2021,Colombia,Valle del Cauca,Palmira
2,Estación del Ferrocarril La Manuelita,Los Monumentos Nacionales,por decreto,2021,Colombia,Valle del Cauca,Palmira
3,Estación del Ferrocarril,Los Monumentos Nacionales,por decreto,2021,Colombia,Valle del Cauca,Palmira
4,Estación del Ferrocarril Caucaseco,Los Monumentos Nacionales,Resolución 014 16-VIII-1994 del Consejo Nacional de  Monumentos,2021,Colombia,Valle del Cauca,Palmira
5,Catedral de Nuestra Señora del Rosario del Palmar,Los Monumentos Nacionales,Resolución 022 25-IV-1995 del Consejo Nacional de Monumentos. Decreto Nacional  1907 de noviembre 26 de 1996.,2021,Colombia,Valle del Cauca,Palmira
6,Casa de Hacienda La Rita,Los Monumentos Nacionales,Resolución No. 014 16-VIII-  1994 del Consejo Nacional de Monumentos. Decreto Nacional 763 de abril 25 de 1996,2021,Colombia,Valle del Cauca,Palmira
7,Universidad Nacional,Los Monumentos Nacionales,Decreto Nacional 1756 de noviembre 26 de 1996,2021,Colombia,Valle del Cauca,Palmira
8,Antigua Alcaldía Municipal,Los Monumentos Nacionales,por decreto,2021,Colombia,Valle del Cauca,Palmira
9,Antiguo Teatro Rienzi,Los Monumentos Nacionales,por decreto,2021,Colombia,Valle del Cauca,Palmira
10,Hacienda Santa Bárbara,Casas de Haciendas.,por decreto,2021,Colombia,Valle del Cauca,Palmira
11,Hacienda Belén,Casas de Haciendas.,por decreto,2021,Colombia,Valle del Cauca,Palmira
12,Hacienda La Estrella,Casas de Haciendas.,por decreto,2021,Colombia,Valle del Cauca,Palmira
13,Hacienda Oriente,Casas de Haciendas.,por decreto,2021,Colombia,Valle del Cauca,Palmira
14,Antigua Casa Ingenio Papayal,Casas de Haciendas.,por decreto,2021,Colombia,Valle del Cauca,Palmira
15,Hacienda San José,Casas de Haciendas.,por decreto,2021,Colombia,Valle del Cauca,Palmira
16,Villa Gertrudis,Casas de Haciendas.,por decreto,2021,Colombia,Valle del Cauca,Palmira
17,Casa principal y alamedas,Casas de Haciendas.,por decreto,2021,Colombia,Valle del Cauca,Palmira
18,Hacienda Guadualito (La Torre),Casas de Haciendas.,por decreto,2021,Colombia,Valle del Cauca,Palmira
19,Hacienda La Argelia (La Torre),Casas de Haciendas.,por decreto,2021,Colombia,Valle del Cauca,Palmira
20,Hacienda Pasoancho (Rozo),Casas de Haciendas.,por decreto,2021,Colombia,Valle del Cauca,Palmira
21,Hacienda Casangal (Coronado),Casas de Haciendas.,por decreto,2021,Colombia,Valle del Cauca,Palmira
22,Hacienda La Magdalena (Palmaseca),Casas de Haciendas.,por decreto,2021,Colombia,Valle del Cauca,Palmira
23,Hacienda La Josepilla (Palmaseca),Casas de Haciendas.,por decreto,2021,Colombia,Valle del Cauca,Palmira
24,Hacienda San Marino (La Dolores),Casas de Haciendas.,por decreto,2021,Colombia,Valle del Cauca,Palmira
25,Hacienda El Guachal (Caucaseco),Casas de Haciendas.,por decreto,2021,Colombia,Valle del Cauca,Palmira
26,Hacienda Cantarrana (Caucaseco),Casas de Haciendas.,por decreto,2021,Colombia,Valle del Cauca,Palmira
27,Hacienda Mirriñaque ( El Bolo),Casas de Haciendas.,por decreto,2021,Colombia,Valle del Cauca,Palmira
28,Hacienda Malagana (El Bolo),Casas de Haciendas.,por decreto,2021,Colombia,Valle del Cauca,Palmira
29,Hacienda Tumaco (Tablones),Casas de Haciendas.,por decreto,2021,Colombia,Valle del Cauca,Palmira
30,Hacienda Santa Rosa (La Pampa),Casas de Haciendas.,por decreto,2021,Colombia,Valle del Cauca,Palmira
31,Hacienda Aguaclara (Aguaclara),Casas de Haciendas.,por decreto,2021,Colombia,Valle del Cauca,Palmira
32,Hacienda San Antonio: conjunto arquitectónico casa y trapiche,Casas de Haciendas.,por decreto,2021,Colombia,Valle del Cauca,Palmira
33,Trapiche hacienda El Guásimo.,Trapiches,por decreto,2021,Colombia,Valle del Cauca,Palmira
34,Trapiche hacienda El Líbano.,Trapiches,por decreto,2021,Colombia,Valle del Cauca,Palmira
35,Trapiche Villa Lucía.,Trapiches,por decreto,2021,Colombia,Valle del Cauca,Palmira
36,Iglesia de la Santísima Trinidad.,Edificaciones Religiosas,por decreto,2021,Colombia,Valle del Cauca,Palmira
37,Iglesia de Nuestra Señora del Carmen.,Edificaciones Religiosas,por decreto,2021,Colombia,Valle del Cauca,Palmira
38,Iglesia de los Padres Agustinos.,Edificaciones Religiosas,por decreto,2021,Colombia,Valle del Cauca,Palmira
39,"Capilla del Colegio del Sagrado Corazón de Jesús, Hermanas Bethlemitas.",Edificaciones Religiosas,por decreto,2021,Colombia,Valle del Cauca,Palmira
40,Casa Cural de Fátima y sus arboledas.,Edificaciones Religiosas,por decreto,2021,Colombia,Valle del Cauca,Palmira
41,Antigua Alcaldía Municipal.,Edificaciones Institucionales,por decreto,2021,Colombia,Valle del Cauca,Palmira
42,Antigua Casa de habitación del poeta Ricardo Nieto.,Edificaciones Institucionales,por decreto,2021,Colombia,Valle del Cauca,Palmira
43,Colegio de Cárdenas Centro.,Edificaciones Institucionales,por decreto,2021,Colombia,Valle del Cauca,Palmira
44,Colegio Champagnat.,Edificaciones Institucionales,por decreto,2021,Colombia,Valle del Cauca,Palmira
45,Conjunto de Edificaciones del CIAT.,Edificaciones Institucionales,por decreto,2021,Colombia,Valle del Cauca,Palmira
